Time [s],Channel 1
2023-12-15T09:11:32.678819125+00:00,0
2023-12-15T09:11:32.678827625+00:00,1
2023-12-15T09:11:32.678836458+00:00,0
2023-12-15T09:11:32.678844958+00:00,1
2023-12-15T09:11:32.678862458+00:00,0
2023-12-15T09:11:32.678870958+00:00,1
2023-12-15T09:11:32.678888458+00:00,0
2023-12-15T09:11:32.678940292+00:00,1
2023-12-15T09:11:32.678949125+00:00,0
2023-12-15T09:11:32.678957625+00:00,1
2023-12-15T09:11:32.678983792+00:00,0
2023-12-15T09:11:32.679026958+00:00,1
2023-12-15T09:11:32.679035750+00:00,0
2023-12-15T09:11:32.679113667+00:00,1
2023-12-15T09:11:32.679122500+00:00,0
2023-12-15T09:11:32.679131000+00:00,1
2023-12-15T09:11:32.679139833+00:00,0
2023-12-15T09:11:32.679148333+00:00,1
2023-12-15T09:11:32.679157125+00:00,0
2023-12-15T09:11:32.679200333+00:00,1
2023-12-15T09:11:32.679209167+00:00,0
2023-12-15T09:11:32.679217667+00:00,1
2023-12-15T09:11:32.679226500+00:00,0
2023-12-15T09:11:32.679287000+00:00,1
2023-12-15T09:11:32.679295833+00:00,0
2023-12-15T09:11:32.679304333+00:00,1
2023-12-15T09:11:32.679313208+00:00,0
2023-12-15T09:11:32.679373708+00:00,1
2023-12-15T09:11:32.679382542+00:00,0
2023-12-15T09:11:32.679460375+00:00,1
2023-12-15T09:11:32.679469208+00:00,0
2023-12-15T09:11:32.679477708+00:00,1
2023-12-15T09:11:32.679486500+00:00,0
2023-12-15T09:11:32.679547042+00:00,1
2023-12-15T09:11:32.679555875+00:00,0
2023-12-15T09:11:32.679564375+00:00,1
2023-12-15T09:11:32.679573250+00:00,0
2023-12-15T09:11:32.679633750+00:00,1
2023-12-15T09:11:32.679642583+00:00,0
2023-12-15T09:11:32.679659750+00:00,1
2023-12-15T09:11:32.679668583+00:00,0
2023-12-15T09:11:32.679685750+00:00,1
2023-12-15T09:11:32.679694583+00:00,0
2023-12-15T09:11:32.679720417+00:00,1
2023-12-15T09:11:32.679729250+00:00,0
2023-12-15T09:11:32.679737750+00:00,1
2023-12-15T09:11:32.679746583+00:00,0
2023-12-15T09:11:32.679755083+00:00,1
2023-12-15T09:11:32.679763917+00:00,0
2023-12-15T09:11:32.679772417+00:00,1
2023-12-15T09:11:32.679781250+00:00,0
2023-12-15T09:11:32.679789750+00:00,1
2023-12-15T09:11:32.679798583+00:00,0
2023-12-15T09:11:32.679807083+00:00,1
2023-12-15T09:11:32.679815917+00:00,0
2023-12-15T09:11:32.679833083+00:00,1
2023-12-15T09:11:32.679841875+00:00,0
2023-12-15T09:11:32.679850458+00:00,1
2023-12-15T09:11:32.679859250+00:00,0
2023-12-15T09:11:32.679867792+00:00,1
2023-12-15T09:11:32.679876625+00:00,0
2023-12-15T09:11:32.679885125+00:00,1
2023-12-15T09:11:32.679902625+00:00,0
2023-12-15T09:11:32.679911125+00:00,1
2023-12-15T09:11:32.679928625+00:00,0
2023-12-15T09:11:32.679980458+00:00,1
2023-12-15T09:11:32.679989292+00:00,0
2023-12-15T09:11:32.679997833+00:00,1
2023-12-15T09:11:32.680023958+00:00,0
2023-12-15T09:11:32.680067125+00:00,1
2023-12-15T09:11:32.680075958+00:00,0
2023-12-15T09:11:32.680153833+00:00,1
2023-12-15T09:11:32.680162667+00:00,0
2023-12-15T09:11:32.680171167+00:00,1
2023-12-15T09:11:32.680180000+00:00,0
2023-12-15T09:11:32.680188500+00:00,1
2023-12-15T09:11:32.680197333+00:00,0
2023-12-15T09:11:32.680240500+00:00,1
2023-12-15T09:11:32.680249333+00:00,0
2023-12-15T09:11:32.680257833+00:00,1
2023-12-15T09:11:32.680266667+00:00,0
2023-12-15T09:11:32.680275167+00:00,1
2023-12-15T09:11:32.680284000+00:00,0
2023-12-15T09:11:32.680327167+00:00,1
2023-12-15T09:11:32.680336000+00:00,0
2023-12-15T09:11:32.680361833+00:00,1
2023-12-15T09:11:32.680370667+00:00,0
2023-12-15T09:11:32.680413875+00:00,1
2023-12-15T09:11:32.680422583+00:00,0
2023-12-15T09:11:32.680500542+00:00,1
2023-12-15T09:11:32.680509292+00:00,0
2023-12-15T09:11:32.680517875+00:00,1
2023-12-15T09:11:32.680526708+00:00,0
2023-12-15T09:11:32.680587208+00:00,1
2023-12-15T09:11:32.680595958+00:00,0
2023-12-15T09:11:32.680673917+00:00,1
2023-12-15T09:11:32.680682750+00:00,0
2023-12-15T09:11:32.680717250+00:00,1
2023-12-15T09:11:32.680734750+00:00,0
2023-12-15T09:11:32.680760583+00:00,1
2023-12-15T09:11:32.680779292+00:00,1
